sample_idx,accuracy_correct,match_type,confidence,predicted_answer,ground_truth_answer,match_f1,precision,recall,num_predicted_steps,num_reference_steps,num_matched_predictions,num_matched_references,avg_similarity,max_similarity,threshold_used
0,False,choice,1.0,B,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
1,True,yes_no,1.0,Yes,Yes,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0000001192092896,1.000000238418579,0.35
2,False,choice,1.0,A,B,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
3,True,exact,1.0,Green,Green,0.8,1.0,0.6666666666666666,4,6,4,4,1.0000001192092896,1.000000238418579,0.35
4,True,choice,1.0,C,C,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
5,True,exact,1.0,Bus,Bus,0.6,1.0,0.42857142857142855,3,7,3,3,1.0000001192092896,1.000000238418579,0.35
6,True,choice,1.0,A,A,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
7,True,numeric_exact,1.0,2,2,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
8,False,exact,0.3,C. Sloping up,A,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
9,False,choice,1.0,A,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.0000001192092896,0.35
10,False,numeric_mismatch,0.0,2,3,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
11,True,choice,1.0,A,A,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
12,False,choice,1.0,B,A,0.6666666666666666,1.0,0.5,3,6,3,3,1.0000001192092896,1.000000238418579,0.35
13,False,choice,1.0,A,C,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0,1.0000001192092896,0.35
14,True,yes_no,1.0,Yes,Yes,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
15,True,choice,1.0,B,B,0.5,1.0,0.3333333333333333,2,6,2,2,1.0000001192092896,1.000000238418579,0.35
16,True,choice,1.0,A,A,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
17,False,numeric_mismatch,0.0,3,0,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
18,False,choice,1.0,A,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
19,False,choice,1.0,A,C,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
20,True,choice,1.0,A,A,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
21,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
22,False,numeric_mismatch,0.0,1,0,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
23,False,choice,1.0,B,C,0.8,1.0,0.6666666666666666,4,6,4,4,1.0000001192092896,1.0000003576278687,0.35
24,False,choice,1.0,B,A,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
25,False,yes_no,1.0,Yes,No,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
26,True,choice,1.0,A,A,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0,0.35
27,True,exact,0.7,C. The hot sauce is larger.,A,0.8333333333333333,1.0,0.7142857142857143,5,7,5,5,1.0,1.000000238418579,0.35
28,False,choice,1.0,A,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
29,False,choice,1.0,A,B,0.5,1.0,0.3333333333333333,3,9,3,3,1.0,1.000000238418579,0.35
30,True,yes_no,1.0,Yes,Yes,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
31,False,choice,1.0,A,B,0.8571428571428571,1.0,0.75,3,4,3,3,1.0000001192092896,1.0000003576278687,0.35
32,False,choice,1.0,B,A,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
33,False,choice,1.0,A,C,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
34,False,choice,1.0,A,C,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
35,False,choice,1.0,B,C,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
36,False,numeric_mismatch,0.0,2,3,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0,1.0000001192092896,0.35
37,False,choice,1.0,A,C,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0000001192092896,1.000000238418579,0.35
38,False,numeric_mismatch,0.0,10,0,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.0000001192092896,0.35
39,True,numeric_exact,1.0,2,2,0.6,1.0,0.42857142857142855,3,7,3,3,1.0,1.000000238418579,0.35
40,False,yes_no,1.0,Yes,No,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.0000001192092896,0.35
41,False,exact,0.3,C. Lane change right,B,0.7272727272727273,1.0,0.5714285714285714,4,7,4,4,1.0000001192092896,1.0000003576278687,0.35
42,True,choice,1.0,B,B,0.6,1.0,0.42857142857142855,3,7,3,3,1.0,1.000000238418579,0.35
43,False,choice,1.0,B,C,0.6,1.0,0.42857142857142855,3,7,3,3,1.000000238418579,1.000000238418579,0.35
44,True,numeric_exact,1.0,3,3,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
45,False,yes_no,1.0,Yes,No,0.7272727272727273,1.0,0.5714285714285714,4,7,4,4,1.0,1.000000238418579,0.35
46,True,exact,0.7,C. 2,C,0.7272727272727273,1.0,0.5714285714285714,4,7,4,4,1.0000001192092896,1.000000238418579,0.35
47,False,exact,0.3,C. The gun is facing right.,B,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.0000003576278687,0.35
48,False,numeric_mismatch,0.0,1,0,0.6,1.0,0.42857142857142855,3,7,3,3,1.000000238418579,1.000000238418579,0.35
49,True,choice,1.0,A,A,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
50,True,choice,1.0,B,B,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.0000001192092896,0.35
51,False,exact,1.0,Left,Right,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
52,False,numeric_mismatch,0.0,2,3,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
53,True,yes_no,1.0,Yes,Yes,0.8,1.0,0.6666666666666666,4,6,4,4,1.0000001192092896,1.000000238418579,0.35
54,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
55,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
56,False,yes_no,1.0,Yes,No,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.0000001192092896,0.35
57,False,exact,1.0,Red,Green,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
58,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
59,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
60,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
61,False,choice,1.0,A,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0,1.000000238418579,0.35
62,True,yes_no,1.0,Yes,Yes,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
63,False,choice,1.0,B,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
64,True,choice,1.0,C,C,0.5,0.3333333333333333,1.0,3,1,1,1,1.0,1.0,0.35
65,False,exact,1.0,Red,Yellow,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
66,False,choice,1.0,A,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
67,True,choice,1.0,B,B,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
68,False,choice,1.0,C,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
69,False,choice,1.0,B,A,0.4,1.0,0.25,2,8,2,2,1.0000001192092896,1.000000238418579,0.35
70,True,choice,1.0,A,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
71,False,yes_no,1.0,Yes,No,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
72,False,choice,1.0,B,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
73,True,choice,1.0,B,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
74,True,choice,1.0,B,B,0.6666666666666666,1.0,0.5,3,6,3,3,1.0000001192092896,1.000000238418579,0.35
75,True,choice,1.0,A,A,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
76,False,numeric_mismatch,0.0,3,5,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
77,True,choice,1.0,B,B,0.5,1.0,0.3333333333333333,3,9,3,3,1.0,1.000000238418579,0.35
78,False,numeric_mismatch,0.0,3,2,0.6666666666666666,1.0,0.5,4,8,4,4,1.0,1.000000238418579,0.35
79,False,numeric_mismatch,0.0,3,0,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
80,True,yes_no,1.0,Yes,Yes,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
81,False,choice,1.0,A,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.000000238418579,0.35
82,False,choice,1.0,A,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.0000003576278687,0.35
83,True,choice,1.0,B,B,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
