sample_idx,accuracy_correct,match_type,confidence,predicted_answer,ground_truth_answer,match_f1,precision,recall,num_predicted_steps,num_reference_steps,num_matched_predictions,num_matched_references,avg_similarity,max_similarity,threshold_used
0,True,exact,0.7,B. The object on the left is the smallest object.,C,0.5,1.0,0.3333333333333333,3,9,3,3,1.0000001192092896,1.0000003576278687,0.35
1,True,yes_no,1.0,Yes,Yes,0.3636363636363636,1.0,0.2222222222222222,2,9,2,2,1.0000001192092896,1.000000238418579,0.35
2,False,exact,0.3,A. Yes,B,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
3,True,exact,1.0,Green,Green,0.8,1.0,0.6666666666666666,4,6,4,4,1.0000001192092896,1.000000238418579,0.35
4,True,exact,0.7,C. The knobs are currently in the upward facing position.,C,0.5454545454545454,1.0,0.375,3,8,3,3,1.0000001192092896,1.000000238418579,0.35
5,True,exact,1.0,Bus,Bus,0.4444444444444445,1.0,0.2857142857142857,2,7,2,2,1.0,1.000000238418579,0.35
6,True,exact,0.7,A. Behind,A,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
7,False,numeric_mismatch,0.0,1,2,0.4,1.0,0.25,2,8,2,2,1.0,1.0000001192092896,0.35
8,True,exact,0.7,B. Flat,A,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.000000238418579,0.35
9,False,exact,0.3,A. The dog is facing forwards.,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0,1.000000238418579,0.35
10,False,numeric_mismatch,0.0,2,3,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
11,True,exact,0.7,A. pickup truck is closer,A,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
12,True,exact,0.7,B. The cat is in front of the black and white shoes.,A,0.5,1.0,0.3333333333333333,2,6,2,2,1.0000001192092896,1.000000238418579,0.35
13,False,exact,0.3,A. 2,C,0.6,1.0,0.42857142857142855,3,7,3,3,1.0,1.000000238418579,0.35
14,True,yes_no,1.0,"Yes, the traffic light is green for us.",Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0,0.35
15,True,choice,1.0,B,B,0.5,1.0,0.3333333333333333,2,6,2,2,1.0000001192092896,1.000000238418579,0.35
16,True,exact,0.7,A. Yes,A,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.0000001192092896,0.35
17,False,numeric_mismatch,0.0,3,0,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
18,False,exact,0.3,A. Yes,B,0.5714285714285715,1.0,0.4,2,5,2,2,1.000000238418579,1.000000238418579,0.35
19,True,exact,0.7,B. The chair is underneath the table to the left.,C,0.6666666666666666,1.0,0.5,3,6,3,3,1.000000238418579,1.000000238418579,0.35
20,True,exact,0.7,A. 30,A,0.5714285714285715,1.0,0.4,2,5,2,2,1.0,1.0000001192092896,0.35
21,True,yes_no,1.0,Yes,Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
22,True,numeric_exact,1.0,0,0,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
23,True,exact,0.7,C. The churros cone is on the left side.,C,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.000000238418579,0.35
24,True,exact,0.7,B. There are 2 benches.,A,0.4,1.0,0.25,2,8,2,2,1.0,1.000000238418579,0.35
25,False,yes_no,1.0,"Yes, we can switch to the left lane.",No,0.6666666666666666,1.0,0.5,3,6,3,3,1.0,1.000000238418579,0.35
26,True,exact,0.7,A. From left to right,A,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
27,True,exact,0.7,A. The barbecue sauce is larger.,A,0.6,1.0,0.42857142857142855,3,7,3,3,1.000000238418579,1.000000238418579,0.35
28,True,exact,0.7,A. The white object is bigger than the bowl.,B,0.7499999999999999,1.0,0.6,3,5,3,3,1.0000001192092896,1.000000238418579,0.35
29,False,exact,0.3,A. There are a total of 14 matryoshkas in the images.,B,0.5,1.0,0.3333333333333333,3,9,3,3,1.0,1.000000238418579,0.35
30,True,yes_no,1.0,"Yes, there is a stop sign.",Yes,0.5,1.0,0.3333333333333333,2,6,2,2,1.0,1.0000001192092896,0.35
